# Generated by tools/build_varcon.py — do not edit by hand.
# One cluster per line: interchangeable spellings of one word, American form first.
orthopedic	orthopaedic
outward	outwards
pajamas	pyjamas
paneled	panelled
paneling	panelling
paralyze	paralyse
paralyzed	paralysed
paralyzing	paralysing
parlor	parlour
parlors	parlours
patronize	patronise
patronized	patronised
patronizer	patroniser
patronizers	patronisers
patronizes	patronises
patronizing	patronising
pedaled	pedalled
pedaling	pedalling
pediatric	paediatric
pediatrics	paediatrics
penalization	penalisation
penalize	penalise
penalized	penalised
penalizes	penalises
penalizing	penalising
plow	plough
plowed	ploughed
plows	ploughs
pretense	pretence
pretenses	pretences
prioritization	prioritisation
prioritize	prioritise
prioritized	prioritised
prioritizes	prioritises
prioritizing	prioritising
publicize	publicise
publicized	publicised
publicizes	publicises
publicizing	publicising
quarreled	quarrelled
quarreler	quarreller
quarrelers	quarrellers
quarreling	quarrelling
randomization	randomisation
randomize	randomise
randomized	randomised
randomizes	randomises
randomizing	randomising
rationalization	rationalisation
rationalizations	rationalisations
rationalize	rationalise
rationalized	rationalised
rationalizes	rationalises
rationalizing	rationalising
realization	realisation
realizations	realisations
realize	realise
realized	realised
realizes	realises
realizing	realising
recognize	recognise
recognized	recognised
recognizer	recogniser
recognizes	recognises
recognizing	recognising
reveled	revelled
reveler	reveller
revelers	revellers
reveling	revelling
revolutionize	revolutionise
revolutionized	revolutionised
revolutionizes	revolutionises
revolutionizing	revolutionising
rigor	rigour
rigors	rigours
rumor	rumour
rumored	rumoured
rumoring	rumouring
rumors	rumours
saber	sabre
sabers	sabres
savor	savour
savored	savoured
savoring	savouring
savors	savours
scepter	sceptre
scepters	sceptres
scrutinize	scrutinise
scrutinized	scrutinised
scrutinizes	scrutinises
scrutinizing	scrutinising
shoveled	shovelled
shoveling	shovelling
signaled	signalled
signaler	signaller
signalers	signallers
signaling	signalling
skeptic	sceptic
skeptical	sceptical
skepticism	scepticism
smelled	smelt
smolder	smoulder
somber	sombre
specialization	specialisation
specializations	specialisations
specialize	specialise
specialized	specialised
specializes	specialises
specializing	specialising
specter	spectre
